Date,AOD_550
2024-01-05,0.426717998
2024-01-06,0.484191968
2024-01-07,0.475137138
2024-01-08,0.533668807
2024-01-09,0.460961607
2024-01-10,0.387320124
2024-01-11,0.380999794
2024-01-12,0.364630111
2024-01-13,0.447379314
2024-01-14,0.379797079
2024-01-15,0.425863975
2024-01-16,0.42268442
2024-01-17,0.568239672
2024-01-18,0.422568681
2024-01-19,0.399547421
2024-01-20,0.561378256
2024-01-21,0.450515031
2024-01-22,0.467901336
2024-01-23,0.435868062
2024-01-24,0.381840392
2024-01-25,0.421972362
2024-01-26,0.45227749
2024-01-27,0.406535674
2024-01-28,0.395017132
2024-01-29,0.47347631
2024-01-30,0.479263542
2024-01-31,0.638139078
2024-02-01,0.527903516
2024-02-02,0.514796331
2024-02-03,0.379115567
2024-02-04,0.388095023
2024-02-05,0.420186071
2024-02-06,0.407328511
2024-02-07,0.380818273
2024-02-08,0.350950119
2024-02-09,0.315805625
2024-02-10,0.338203017
2024-02-11,0.378191092
2024-02-12,0.376618942
2024-02-13,0.388011441
2024-02-14,0.389347758
2024-02-15,0.438237401
2024-02-16,0.406562032
2024-02-17,0.418551166
2024-02-18,0.406925163
2024-02-19,0.508560047
2024-02-20,0.431017412
2024-02-21,0.429675176
2024-02-22,0.392122754
2024-02-23,0.363265018
2024-02-24,0.356289989
2024-02-25,0.437444473
2024-02-26,0.45577566
2024-02-27,0.488032872
2024-02-28,0.375369266
2024-02-29,0.364454899
2024-03-01,0.394487993
2024-03-02,0.40452614
2024-03-03,0.39652996
2024-03-04,0.336316313
2024-03-05,0.311296126
2024-03-06,0.342713042
2024-03-07,0.33086806
2024-03-08,0.33803935
2024-03-09,0.313317743
2024-03-10,0.36560245
2024-03-11,0.418143063
2024-03-12,0.431275698
2024-03-13,0.457605384
2024-03-14,0.474249155
2024-03-15,0.445274404
2024-03-16,0.495800971
2024-03-17,0.504711611
2024-03-18,0.45815715
2024-03-19,0.574786582
2024-03-20,0.396432641
2024-03-21,0.445455874
2024-03-22,0.388179684
2024-03-25,0.47837722
2024-03-26,0.45999531
2024-03-27,0.420729841
2024-03-28,0.445130342
2024-03-29,0.503689836
2024-03-30,0.490005686
2024-03-31,0.480749399
2024-04-01,0.374194824
2024-04-02,0.385536403
2024-04-03,0.449294279
2024-04-04,0.466087232
2024-04-05,0.478172866
2024-04-06,0.446938719
2024-04-07,0.626557972
2024-04-08,0.451451707
2024-04-09,0.487660824
2024-04-10,0.526094315
2024-04-11,0.525376784
2024-04-12,0.591300658
2024-04-13,0.54867633
2024-04-14,0.573878096
2024-04-15,0.548603767
2024-04-16,0.520525344
2024-04-17,0.438012286
2024-04-18,0.46839995
2024-04-19,0.503796082
2024-04-20,0.459611195
2024-04-21,0.456042539
2024-04-22,0.457951165
2024-04-23,0.395371512
2024-04-24,0.45038485
2024-04-25,0.424270141
2024-04-26,0.481971626
2024-04-27,0.490158645
2024-04-28,0.494672804
2024-04-29,0.531284451
2024-04-30,0.396994689
2024-05-01,0.428581323
2024-05-02,0.376859043
2024-05-03,0.399998721
2024-05-04,0.461360726
2024-05-05,0.412826242
2024-05-06,0.440449425
2024-05-07,0.401518176
2024-05-08,0.450711749
2024-05-09,0.43799282
2024-05-10,0.511076031
2024-05-11,0.439376607
2024-05-12,0.456924573
2024-05-13,0.453579361
2024-05-14,0.387226012
2024-05-15,0.481570024
2024-05-16,0.498402746
2024-05-17,0.516930281
2024-05-18,0.501601056
2024-05-19,0.454373986
2024-05-20,0.560179768
2024-05-21,0.432386377
2024-05-22,0.500943395
2024-05-23,0.502462996
2024-05-24,0.542098489
2024-05-25,0.527478943
2024-05-26,0.514301816
2024-05-27,0.404364219
2024-05-28,0.474127258
2024-05-29,0.472436214
2024-05-30,0.547175288
2024-05-31,0.521102121
2024-06-01,0.682227867
2024-06-02,0.595320764
2024-06-03,0.531305178
2024-06-04,0.51383158
2024-06-05,0.55698306
2024-06-06,0.576781188
2024-06-07,0.537964945
2024-06-08,0.507595407
2024-06-09,0.505235851
2024-06-10,0.440528698
2024-06-11,0.540772681
2024-06-12,0.475164375
2024-06-13,0.521358662
2024-06-14,0.478217501
2024-06-15,0.515643728
2024-06-16,0.453676827
2024-06-17,0.428361887
2024-06-18,0.504302272
2024-06-19,0.513299829
2024-06-20,0.597456528
2024-06-21,0.75220383
2024-06-22,0.522240737
2024-06-23,0.599130417
2024-06-24,0.543023162
2024-06-25,0.596831599
2024-06-26,0.575490733
2024-06-27,0.522473187
2024-06-28,0.4003315
2024-06-29,0.482625952
2024-06-30,0.497164593
